Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
409,2019,1,102301,2020,1,185,0,NULL,4,4,0,1,7.34,4,4,0,1,7.64,8,8,0,1,7.49,0
413,2016,1,102302,2020,1,142,0,NULL,4,3,0,0.75,5.12,4,4,0,1,8.33,8,7,0,0.875,6.72,0
202,2016,1,102301,2020,1,241,0,NULL,5,5,0,1,8.33,5,5,0,1,8.68,10,10,0,1,8.51,0
209,2019,1,102302,2020,1,246,0,NULL,5,5,0,1,7.48,4,4,0,1,7.47,9,9,0,1,7.47,0
105,2017,1,102302,2020,1,309,0,NULL,4,2,2,0.5,5.9,2,1,1,0.5,5.85,6,3,3,0.5,5.87,0
104,2017,1,102301,2020,1,153,0,NULL,4,3,1,0.75,7.81,5,4,0,0.8,6.57,9,7,1,0.7778,7.19,0
211,2019,1,102302,2020,1,258,0,NULL,5,5,0,1,9.05,4,4,0,1,9.44,9,9,0,1,9.25,0
104,2017,1,102301,2020,1,396,0,NULL,4,4,0,1,8.08,5,4,0,0.8,6.33,9,8,0,0.8889,7.21,0
103,2017,1,102301,2020,1,279,0,NULL,4,1,1,0.25,2.63,4,3,1,0.75,6.63,8,4,2,0.5,4.63,0
106,2017,1,102302,2020,1,179,0,NULL,4,4,0,1,8.13,4,4,0,1,7.3,8,8,0,1,7.72,0
206,2018,1,102302,2020,1,384,0,NULL,3,3,0,1,7.08,3,3,0,1,8.21,6,6,0,1,7.64,0
303,2016,1,102301,2020,1,445,0,NULL,5,3,1,0.6,5.56,4,4,0,1,7.19,9,7,1,0.7778,6.37,0
702,2014,1,102302,2020,1,162,0,NULL,5,4,1,0.8,7.53,5,4,0,0.8,6.45,10,8,1,0.8,6.99,0
209,2019,1,102302,2020,1,488,0,NULL,5,5,0,1,8.48,4,4,0,1,8.49,9,9,0,1,8.48,0
413,2016,1,102302,2020,1,250,0,NULL,5,4,0,0.8,5.82,5,3,2,0.6,5.82,10,7,2,0.7,5.82,1
413,2016,1,102301,2020,1,229,1,50,4,4,0,1,8.04,4,4,0,1,8.04,8,8,0,1,8.04,0
209,2019,1,102302,2020,1,23,1,50,5,5,0,1,8.16,5,5,0,1,8.76,10,10,0,1,8.46,0
206,2018,1,102301,2020,1,178,0,NULL,4,4,0,1,8.41,2,2,0,1,9.14,6,6,0,1,8.77,0
701,2019,1,102301,2020,1,176,0,NULL,5,4,0,0.8,6.28,5,4,0,0.8,6.28,10,8,0,0.8,6.28,0
404,2019,1,102301,2020,1,681,0,NULL,5,3,2,0.6,6.64,5,0,0,0,0,10,3,2,0.3,3.32,0
703,2013,1,102301,2020,1,363,0,NULL,6,5,1,0.8333,7.1,5,2,3,0.4,5.15,11,7,4,0.6364,6.12,1
409,2019,1,102301,2020,1,196,0,NULL,5,5,0,1,7.98,5,5,0,1,7.2,10,10,0,1,7.59,1
441,2009,1,102301,2020,1,152,0,NULL,6,6,0,1,7.87,5,5,0,1,8.78,11,11,0,1,8.32,1
104,2017,1,102301,2021,1,335,0,NULL,4,4,0,1,8.33,5,2,0,0.4,3.23,9,6,0,0.6667,5.78,1
209,2019,1,102302,2021,1,258,0,NULL,5,5,0,1,8.55,4,3,1,0.75,7.83,9,8,1,0.8889,8.19,0
702,2014,1,102301,2021,1,563,0,NULL,5,4,0,0.8,6.71,5,3,0,0.6,5.28,10,7,0,0.7,6,0
