Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
218,2013,1,102302,2017,1,606,0,NULL,3,3,0,1,9.11,3,3,0,1,9.2,6,6,0,1,9.15,0
405,2015,1,102301,2017,1,220,0,NULL,5,2,1,0.4,3.74,4,2,1,0.5,5.17,9,4,2,0.4444,4.46,0
104,2017,1,102302,2017,1,300,0,NULL,4,3,0,0.75,5.22,5,3,2,0.6,4.91,9,6,2,0.6667,5.07,0
211,2014,1,102302,2017,1,273,0,NULL,5,5,0,1,8.08,5,5,0,1,8.46,10,10,0,1,8.27,0
218,2013,1,102302,2017,1,480,0,NULL,3,0,2,0,2.9,3,3,0,1,8.33,6,3,2,0.5,5.62,0
106,2017,1,102301,2017,1,285,0,NULL,4,2,2,0.5,6.37,5,3,1,0.6,5.8,9,5,3,0.5556,6.09,0
218,2013,1,102301,2017,1,626,0,NULL,3,3,0,1,8.51,4,4,0,1,9.19,7,7,0,1,8.85,0
703,2013,1,102301,2017,1,363,0,NULL,6,5,1,0.8333,7.48,6,6,0,1,8.12,12,11,1,0.9167,7.8,0
104,2017,1,102301,2018,1,153,0,NULL,4,4,0,1,8.35,5,3,1,0.6,6.27,9,7,1,0.7778,7.31,0
209,2014,1,102301,2018,1,233,0,NULL,5,5,0,1,7.69,4,3,0,0.75,5.24,9,8,0,0.8889,6.47,0
404,2015,1,102301,2018,1,21,0,NULL,5,4,1,0.8,7.04,3,1,2,0.3333,5.97,8,5,3,0.625,6.5,1
302,2016,1,102301,2018,1,601,0,NULL,4,4,0,1,8.09,4,3,0,0.75,5.14,8,7,0,0.875,6.61,0
702,2014,1,102301,2018,1,567,0,NULL,5,3,2,0.6,6.74,4,0,4,0,2.99,9,3,6,0.3333,4.86,1
211,2014,1,102302,2018,1,201,0,NULL,5,5,0,1,7.7,4,4,0,1,8.25,9,9,0,1,7.98,0
301,2016,1,102301,2018,1,342,0,NULL,5,5,0,1,7.28,5,4,0,0.8,6.32,10,9,0,0.9,6.8,0
103,2017,1,102301,2019,1,152,0,NULL,4,3,1,0.75,7.03,4,2,1,0.5,4.97,8,5,2,0.625,6,0
702,2014,1,102301,2019,1,621,0,NULL,5,4,0,0.8,6.8,3,1,2,0.3333,6.83,8,5,2,0.625,6.81,0
802,2014,1,102302,2019,1,475,1,50,5,5,0,1,7.85,5,5,0,1,8.28,10,10,0,1,8.06,0
409,2019,1,102302,2019,1,335,0,NULL,5,5,0,1,8.57,4,4,0,1,8.52,9,9,0,1,8.54,0
401,2019,1,102301,2019,1,241,0,NULL,4,2,1,0.5,5.37,3,3,0,1,6.77,7,5,1,0.7143,6.07,0
702,2014,1,102302,2019,1,161,0,NULL,5,3,1,0.6,6.61,4,4,0,1,7.63,9,7,1,0.7778,7.12,0
202,2016,1,102301,2019,1,397,0,NULL,5,5,0,1,7.28,4,4,0,1,7.54,9,9,0,1,7.41,0
302,2016,1,102301,2019,1,488,0,NULL,4,4,0,1,7.59,3,2,0,0.6667,4.85,7,6,0,0.8571,6.22,0
403,2019,1,102301,2019,1,35,0,NULL,6,4,0,0.6667,4.74,4,3,0,0.75,5.27,10,7,0,0.7,5,0
109,2017,1,102301,2019,1,18,0,NULL,4,2,1,0.5,4.42,4,3,1,0.75,7.07,8,5,2,0.625,5.74,0
211,2019,1,102302,2019,1,211,0,NULL,5,4,0,0.8,5.54,5,5,0,1,7.9,10,9,0,0.9,6.72,0
702,2014,1,102301,2019,1,400,1,35,5,5,0,1,8.59,4,4,0,1,8.63,9,9,0,1,8.61,0
219,2018,1,102302,2019,1,450,0,NULL,2,2,0,1,8.04,4,3,1,0.75,6.57,6,5,1,0.8333,7.31,0
219,2013,1,102302,2015,1,273,0,NULL,3,3,0,1,9.4,3,3,0,1,8.81,6,6,0,1,9.1,0
702,2014,1,102301,2015,1,347,0,NULL,5,5,0,1,8.61,5,5,0,1,7.64,10,10,0,1,8.13,0
104,2009,1,102301,2015,1,319,0,NULL,5,3,2,0.6,6.18,5,2,3,0.4,5.22,10,5,5,0.5,5.7,0
105,2017,1,102301,2017,1,347,1,50,4,4,0,1,9.2,5,5,0,1,9,9,9,0,1,9.1,0
207,2013,1,102302,2017,1,576,0,NULL,5,5,0,1,8.86,5,5,0,1,9.1,10,10,0,1,8.98,0
219,2018,1,102302,2019,1,571,0,NULL,3,3,0,1,8.38,3,3,0,1,7.6,6,6,0,1,7.99,0
701,2019,1,102301,2019,1,146,0,NULL,5,4,1,0.8,7.43,5,5,0,1,8.42,10,9,1,0.9,7.93,0
209,2014,1,102301,2015,1,152,0,NULL,5,4,0,0.8,5.43,5,2,3,0.4,4.83,10,6,3,0.6,5.13,0
301,2009,1,102301,2015,1,155,0,NULL,5,4,0,0.8,6.96,5,0,0,0,0.12,10,4,0,0.4,3.54,1
441,2009,1,102301,2015,1,152,0,NULL,6,6,0,1,6.98,5,4,1,0.8,6.98,11,10,1,0.9091,6.98,1
